MPN,SKU,Brand,Name,Status,Web Regular Price,Web Sale Price,Retail Price,Retail Sale Price,Store Inv,Warehouse Inv,WHS inv,Website,Media Status,RICS Color,RICS Short Description,RICS Long Desc,RICS Category,RICS Brand
SH-NKE-AM90-001,300-78542,Nike,Air Max 90 Essential,Active,130.00,99.99,140.00,109.99,18,120,65,"shiekh,karmaloop",Has Media,Black/White/Infrared,Nike Air Max 90 Essential Men's,Nike Air Max 90 Essential Men's Shoe - Infrared colorway with visible Air cushioning and waffle outsole,Footwear > Sneakers > Lifestyle,NIKE
SH-NKE-AF1-002,300-78543,Nike,Air Force 1 '07,Active,110.00,0,115.00,0,42,200,110,shiekh,Has Media,White/White,Nike Air Force 1 '07,Nike Air Force 1 '07 classic basketball shoe in triple white leather,Footwear > Sneakers > Lifestyle,NIKE
SH-JDN-RET4-003,300-78544,Jordan,Retro 4 Fire Red,Active,210.00,0,210.00,0,6,15,8,"shiekh,karmaloop,mltd",Has Media,Fire Red/Black/White,Air Jordan 4 Retro Fire Red,Air Jordan 4 Retro OG Fire Red 2026 with visible Air-Sole unit and cement grey accents,Footwear > Sneakers > Basketball,JORDAN
SH-ADS-UB22-004,300-78545,Adidas,Ultraboost 22,Active,190.00,139.99,195.00,149.99,8,45,22,shiekh,Has Media,Core Black/Solar Red,Adidas Ultraboost 22 Men's,Adidas Ultraboost 22 running shoe with Boost midsole and Primeknit upper,Footwear > Running,ADIDAS
SH-NKE-DNK-005,300-78546,Nike,Dunk Low Retro,Active,115.00,0,120.00,0,30,175,90,"shiekh,karmaloop,plndr",Has Media,Black/White Panda,Nike Dunk Low Retro,Nike Dunk Low Retro Panda edition with classic two-tone leather upper,Footwear > Sneakers > Lifestyle,NIKE
SH-PMA-SUE-006,300-78547,Puma,Suede Classic XXI,Active,75.00,54.99,80.00,59.99,22,90,50,"shiekh,mltd",Has Media,Peacoat/White,Puma Suede Classic XXI,Puma Suede Classic XXI with iconic formstrip and rubber cupsole,Footwear > Sneakers > Lifestyle,PUMA
SH-TBL-6IN-007,300-78548,Timberland,6-Inch Premium Boot,Active,198.00,0,210.00,0,14,60,35,shiekh,Has Media,Wheat Nubuck,Timberland 6-Inch Premium,Timberland 6-Inch Premium Waterproof Boot in wheat nubuck with padded collar,Footwear > Boots,TIMBERLAND
SH-NKE-VPM-008,300-78549,Nike,Air VaporMax 2023 FK,Active,210.00,169.99,220.00,179.99,4,20,12,"shiekh,karmaloop",Has Media,Pure Platinum/Black,Nike Air VaporMax 2023 Flyknit,Nike Air VaporMax 2023 Flyknit with full-length VaporMax Air unit,Footwear > Running,NIKE
SH-CVS-CT70-009,300-78550,Converse,Chuck 70 High Top,Active,90.00,0,95.00,0,35,150,80,"shiekh,karmaloop",Has Media,Black/Egret,Converse Chuck 70 High,Converse Chuck 70 High Top with vintage styling and OrthoLite cushioning,Footwear > Sneakers > Lifestyle,CONVERSE
SH-NB-550-010,300-78551,New Balance,550,Active,110.00,0,115.00,0,20,85,45,shiekh,Has Media,White/Green,New Balance 550,New Balance 550 retro basketball shoe with leather upper and ENCAP midsole,Footwear > Sneakers > Lifestyle,NEW BALANCE
SH-JDN-RET1-011,300-78552,Jordan,c7e91a3b-5d2f-4c8a-b6e4-8f2d1a3c5e7b,Active,180.00,0,180.00,0,10,40,20,"shiekh,karmaloop",,Obsidian/Sail,Air Jordan 1 Retro High OG,Air Jordan 1 Retro High OG Obsidian UNC with tumbled leather and Nike Air branding,Footwear > Sneakers > Basketball,JORDAN
SH-ADS-YZS-012,300-78553,Adidas,Yeezy Slide,Active,70.00,0,70.00,0,0,0,0,shiekh,,Onyx,Adidas Yeezy Slide Onyx,Adidas Yeezy Slide in Onyx colorway with lightweight EVA foam construction,Footwear > Slides,ADIDAS
SH-NKE-BLZ-013,300-78554,Nike,Blazer Mid '77 Vintage,Active,105.00,79.99,110.00,84.99,16,70,38,"shiekh,plndr",Has Media,White/Black,Nike Blazer Mid '77 Vintage,Nike Blazer Mid '77 Vintage with exposed foam on the tongue and blazer herringbone outsole,Footwear > Sneakers > Lifestyle,NIKE
SH-UGG-CLS-014,300-78555,UGG,Classic Short II,Active,180.00,0,190.00,0,12,55,30,shiekh,Has Media,Chestnut,UGG Classic Short II,UGG Classic Short II boot with Twinface sheepskin and Treadlite outsole,Footwear > Boots,UGG
SH-ADS-FRM-015,300-78556,Adidas,Forum Low,Active,100.00,69.99,105.00,74.99,25,110,60,"shiekh,mltd,karmaloop",Has Media,Cloud White/Royal Blue,Adidas Forum Low,Adidas Forum Low with premium leather upper and ankle strap heritage design,Footwear > Sneakers > Lifestyle,ADIDAS
SH-JDN-RET11-016,300-78557,Jordan,Retro 11 Cool Grey,Active,225.00,0,225.00,0,3,10,5,"shiekh,karmaloop",Has Media,Cool Grey/Medium Grey,Air Jordan 11 Retro Cool Grey,Air Jordan 11 Retro Cool Grey with patent leather mudguard and full-length Air-Sole,Footwear > Sneakers > Basketball,JORDAN
SH-NKE-AMX97-017,300-78558,Nike,Air Max 97 Silver Bullet,Active,175.00,0,180.00,0,9,35,18,shiekh,Has Media,Metallic Silver/Varsity Red,Nike Air Max 97 Silver Bullet,Nike Air Max 97 OG Silver Bullet with full-length visible Air unit and reflective upper,Footwear > Sneakers > Lifestyle,NIKE
SH-RBK-CLB-018,300-78559,Reebok,Club C 85,Active,80.00,0,85.00,0,28,95,50,"shiekh,karmaloop",Has Media,Chalk/Green,Reebok Club C 85 Vintage,Reebok Club C 85 Vintage with soft leather upper and die-cut EVA midsole,Footwear > Sneakers > Lifestyle,REEBOK
SH-NKE-AM1-019,300-78560,Nike,f4a82c1d-9e3b-4d5f-a7c6-2b8e0f1d3a5c,Active,0,0,0,0,0,0,0,"shiekh,mltd",,Sail/Obsidian,Nike Air Max 1 Premium,Nike Air Max 1 Premium with mini Swoosh and premium suede overlays,Footwear > Sneakers > Lifestyle,NIKE
SH-PMA-RSX-020,300-78561,Puma,RS-X Reinvention,Active,0,39.99,0,0,7,30,15,shiekh,Has Media,Whisper White/Red,Puma RS-X Reinvention,Puma RS-X Reinvention with RS cushioning technology and mixed material upper,Footwear > Sneakers > Lifestyle,PUMA
SH-NKE-SB-021,300-78562,Nike,SB Dunk Low Pro,Active,115.00,0,120.00,0,11,50,25,"shiekh,karmaloop,plndr",Has Media,Black/Gum Light Brown,Nike SB Dunk Low Pro,Nike SB Dunk Low Pro with Zoom Air insole and sticky gum rubber outsole,Footwear > Sneakers > Skateboarding,NIKE
SH-ADS-GAZ-022,300-78563,Adidas,Gazelle,Active,100.00,74.99,105.00,79.99,19,80,42,"shiekh,mltd",Has Media,Collegiate Navy/White,Adidas Gazelle OG,Adidas Gazelle OG with soft suede upper and gum rubber outsole,Footwear > Sneakers > Lifestyle,ADIDAS
SH-TBL-FLD-023,300-78564,Timberland,Field Boot,Active,160.00,0,170.00,0,6,25,14,shiekh,Has Media,Dark Brown,Timberland Field Boot,Timberland Field Boot with premium leather and waterproof construction,Footwear > Boots,TIMBERLAND
SH-JDN-MA2-024,300-78565,Jordan,1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,Active,150.00,119.99,160.00,129.99,0,0,0,"shiekh,karmaloop",,University Blue/Black,Air Jordan MA2,Air Jordan MA2 with mixed materials and visible Air cushioning,Footwear > Sneakers > Lifestyle,JORDAN
SH-NKE-RN5-025,300-78566,Nike,Free Run 5.0,Active,100.00,0,105.00,0,15,65,35,shiekh,Has Media,Black/Anthracite,Nike Free Run 5.0,Nike Free Run 5.0 with flexible outsole and lightweight Flyknit upper,Footwear > Running,NIKE
